,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,cluster
10,0.63,0.13,0.63,0.56,0.75,0.13,0.31,0.69,0.38,0.19,0.19,0.31,0.31,0.44,0.31,0.69,0.5,0.31,0.5,0.5,0.81,0.44,0.63,0.25,0.19,0.0,0.38,0.19,0.25,0.31,0.13,0.44,0.44,0.25,0.69,0.38,0.44,0.31,0.06,0.88,0.06,0.44,0.38,0.69,0.44,0.38,0.5,0.19,0.75,0.31,0.31,1.0,1
11,0.33,0.44,0.11,0.67,0.44,0.33,0.78,0.33,0.56,0.33,0.56,0.67,0.56,0.0,0.44,0.0,0.78,0.11,0.56,0.56,0.33,0.78,0.44,0.44,0.56,0.67,0.44,0.0,0.44,0.44,0.22,0.22,0.44,0.67,0.22,0.56,0.56,0.56,1.0,0.22,0.56,0.44,0.44,0.22,0.44,0.56,0.11,0.33,0.22,0.44,0.67,0.33,0
12,0.63,0.53,0.47,0.32,0.53,0.58,0.95,0.42,0.53,0.89,0.58,0.63,0.58,0.68,0.53,0.42,0.47,0.53,0.47,0.42,0.37,0.26,0.63,0.53,0.53,0.26,0.63,0.37,0.42,0.0,0.58,0.37,0.05,0.79,0.32,0.47,0.42,0.63,0.42,0.21,0.32,0.21,0.21,0.47,0.26,0.42,0.37,1.0,0.74,0.58,0.47,0.26,4
13,0.5,0.41,0.27,0.36,0.45,0.41,0.23,0.41,0.45,0.32,0.32,0.64,0.5,0.5,1.0,0.68,0.45,0.86,0.41,0.82,0.55,0.64,0.36,0.55,0.41,0.64,0.36,0.09,0.18,0.18,0.23,0.27,0.09,0.36,0.27,0.23,0.45,0.41,0.18,0.23,0.41,0.18,0.5,0.14,0.0,0.27,0.55,0.23,0.36,0.45,0.41,0.68,1
14,0.0,0.79,0.85,0.7,0.3,0.76,0.73,0.52,0.18,1.0,0.61,0.7,0.73,0.7,0.73,0.97,0.64,0.76,0.33,0.61,0.61,0.52,0.39,0.61,0.33,0.09,0.18,0.45,0.27,0.3,0.15,0.3,0.18,0.58,0.64,0.52,0.7,0.09,0.42,0.33,0.06,0.36,0.58,0.48,0.42,0.33,0.55,0.33,0.33,0.45,0.58,0.03,4
15,0.25,0.16,0.16,0.66,0.22,0.31,0.84,0.59,0.84,0.5,0.63,0.25,0.66,0.66,1.0,0.81,0.38,0.44,0.69,0.66,0.69,0.19,0.41,0.22,0.66,0.25,0.16,0.25,0.22,0.41,0.63,0.53,0.5,0.5,0.5,0.38,0.31,0.28,0.34,0.31,0.44,0.38,0.56,0.25,0.34,0.53,0.63,0.72,0.28,0.28,0.03,0.0,1
16,0.91,0.66,0.66,0.31,0.66,0.86,0.77,0.8,0.63,0.46,0.63,0.57,0.46,1.0,0.34,0.8,0.49,0.74,0.66,0.94,0.34,0.54,0.43,0.31,0.51,0.37,0.14,0.17,0.09,0.0,0.2,0.26,0.09,0.37,0.31,0.51,0.69,0.34,0.51,0.37,0.66,0.31,0.54,0.4,0.54,0.51,0.74,0.31,0.37,0.37,0.26,0.23,4
17,0.71,0.64,0.68,0.64,0.68,0.46,0.29,0.86,0.57,0.57,0.11,0.64,0.64,0.75,0.82,0.25,0.64,0.39,0.82,0.43,0.54,0.64,1.0,0.64,0.36,0.04,0.0,0.07,0.14,0.11,0.39,0.11,0.46,0.39,0.68,0.36,0.36,0.5,0.39,0.04,0.04,0.68,0.36,0.32,0.32,0.75,0.54,0.07,0.29,0.32,0.32,0.11,1
18,0.24,0.41,0.9,0.59,0.41,0.31,0.31,0.52,0.79,0.72,0.83,0.55,0.38,0.48,0.72,0.9,1.0,0.55,0.38,0.34,0.69,0.76,0.38,0.52,0.31,0.1,0.41,0.34,0.38,0.52,0.24,0.31,0.45,0.41,0.28,0.72,0.48,0.52,0.41,0.0,1.0,0.07,0.41,0.0,0.17,0.45,0.59,0.38,0.48,0.34,0.28,0.34,1
19,0.73,1.0,0.6,0.53,0.33,0.6,1.0,0.4,0.67,0.53,0.4,0.47,0.4,0.53,0.53,0.73,0.6,0.53,0.33,0.4,0.4,0.4,0.47,0.33,0.53,0.4,0.4,0.47,0.4,0.47,0.33,0.33,0.2,0.2,0.13,0.2,0.4,0.4,0.47,0.4,0.47,0.47,0.33,0.4,0.4,0.47,1.0,0.0,0.47,0.27,0.67,0.47,1
20,0.75,0.17,0.5,0.42,0.5,0.25,0.58,0.83,0.25,0.75,0.83,0.58,1.0,0.75,0.42,0.75,0.75,0.5,0.75,0.42,0.5,0.83,0.58,0.33,0.5,0.08,0.67,0.0,0.0,0.0,0.33,0.25,0.5,0.5,0.92,0.58,0.33,0.33,0.33,0.42,0.33,0.42,0.83,0.17,0.42,0.58,0.58,0.67,0.67,0.75,0.17,0.17,4
21,0.41,0.76,0.41,0.47,0.94,0.29,0.94,0.82,0.59,0.71,0.47,1.0,0.24,0.41,0.65,0.29,0.94,0.47,0.53,0.29,0.47,0.94,0.53,0.47,0.47,0.0,0.18,0.18,0.53,0.47,0.47,0.24,0.24,0.35,0.53,0.59,0.41,0.41,0.59,0.53,0.47,0.29,0.35,0.12,0.35,0.65,0.59,0.82,0.71,0.18,0.59,0.24,4
22,0.33,0.56,0.44,0.33,0.33,0.22,0.56,0.44,0.56,0.56,0.78,0.78,0.56,0.44,0.67,0.67,0.67,0.89,0.44,0.44,0.33,0.33,0.33,0.44,1.0,0.44,0.67,0.56,0.44,0.33,0.22,0.33,0.11,0.33,0.44,0.56,0.67,0.56,0.22,0.56,0.33,0.67,0.33,0.33,0.44,0.56,0.22,0.11,0.67,0.22,0.44,0.0,1
23,0.56,0.72,0.33,0.49,0.67,0.87,0.62,0.64,0.69,0.64,0.77,0.54,1.0,0.97,0.74,0.79,0.69,0.72,0.74,0.31,0.54,0.38,0.87,0.26,0.49,0.51,0.23,0.26,0.31,0.36,0.46,0.51,0.62,0.67,0.46,0.44,0.92,0.56,0.74,0.72,0.46,0.46,0.62,0.56,0.64,0.46,0.44,0.64,0.23,0.67,0.46,0.0,4
24,0.24,0.31,0.48,0.45,0.03,0.48,0.79,0.34,0.17,0.45,0.9,0.76,0.55,0.69,0.45,0.59,0.41,0.45,1.0,0.24,0.52,0.38,0.59,0.41,0.52,0.0,0.0,0.28,0.31,0.45,0.07,0.17,0.52,0.24,0.66,0.45,0.24,0.1,0.28,0.45,0.62,0.34,0.45,0.28,0.72,0.48,0.34,0.55,0.38,0.34,0.21,0.03,1
25,0.61,0.61,0.33,0.28,0.33,0.22,0.33,0.44,0.39,0.61,0.72,0.22,0.67,0.28,0.83,0.28,0.44,0.5,0.33,0.67,0.72,0.94,0.22,0.39,0.5,0.33,0.33,0.33,0.11,0.28,0.39,0.39,0.39,0.22,0.17,0.17,0.44,0.22,0.39,0.28,0.39,0.11,0.67,0.11,0.33,0.0,0.56,0.33,0.39,0.44,0.39,1.0,1
26,0.74,0.42,0.39,0.58,0.42,0.29,0.84,0.19,0.77,0.58,0.84,0.58,0.45,0.84,0.26,0.77,1.0,0.55,0.97,0.55,0.65,0.0,0.39,0.39,0.13,0.19,0.35,0.68,0.16,0.39,0.16,0.16,0.35,0.32,0.16,0.55,0.81,0.23,0.29,0.32,0.65,0.0,0.61,0.39,0.35,0.16,0.16,0.26,0.74,0.29,0.42,0.23,4
27,0.55,0.45,0.64,0.86,0.41,0.41,0.45,0.32,0.95,0.5,0.68,1.0,0.68,0.23,0.64,0.73,0.09,0.64,0.36,0.45,0.32,0.82,0.86,0.64,0.5,0.0,0.27,0.05,0.59,0.64,0.5,0.45,0.09,0.41,0.0,0.5,0.68,0.55,0.5,0.32,0.64,0.5,0.45,0.59,0.86,0.55,0.32,0.36,0.23,0.18,0.55,0.14,1
28,0.43,0.29,0.38,0.62,0.62,0.33,0.52,0.57,0.29,0.38,0.67,0.1,0.48,0.38,0.33,0.29,0.71,1.0,0.24,0.62,0.38,0.52,0.57,0.33,0.48,0.52,0.0,0.43,0.38,0.29,0.14,0.29,0.14,0.71,0.29,0.05,0.48,0.14,0.33,0.29,0.33,0.48,0.29,0.43,0.1,0.24,0.05,0.38,0.52,0.33,0.29,0.57,1
29,1.0,0.67,0.97,0.6,0.63,0.67,0.9,0.4,0.33,0.57,1.0,0.87,0.83,0.87,0.7,0.73,0.8,0.63,0.43,0.5,0.9,0.43,0.77,0.63,0.63,0.13,0.0,0.43,0.73,0.4,0.27,0.43,0.6,0.07,0.43,0.5,0.3,0.83,0.67,0.37,0.33,0.8,0.07,0.53,0.63,0.77,0.53,0.43,0.23,0.4,0.07,0.17,4
30,0.38,1.0,0.31,0.38,0.5,0.38,0.63,0.56,0.75,0.5,0.19,0.88,0.56,0.38,0.56,0.5,0.63,0.44,0.81,0.5,0.56,0.13,0.13,0.0,0.44,0.56,0.25,0.31,0.81,0.5,0.69,0.44,0.5,0.25,0.56,0.31,0.81,0.56,0.31,0.69,0.63,0.63,0.44,0.25,0.38,0.5,0.13,0.5,0.31,0.44,0.19,0.38,4
31,0.92,0.77,0.54,0.08,0.77,0.31,0.54,0.69,0.62,0.92,0.15,0.92,0.38,0.54,0.31,1.0,0.62,0.54,0.31,0.62,0.23,0.38,0.15,0.0,0.69,0.54,0.46,0.46,0.23,0.31,0.77,0.31,0.69,0.92,0.31,0.23,0.46,0.23,0.23,0.46,0.62,0.15,0.15,0.62,0.69,0.38,0.69,0.62,0.08,0.23,0.23,0.31,4
32,0.73,0.53,0.47,0.87,0.4,0.93,0.47,0.8,0.27,0.13,0.47,0.4,0.93,0.4,0.67,0.6,0.6,0.53,0.67,0.4,0.4,0.47,0.67,0.47,0.4,0.87,0.27,0.6,0.13,0.8,0.33,0.0,0.53,0.4,1.0,0.33,0.2,0.07,0.4,0.27,0.47,0.07,0.47,0.6,0.47,0.47,0.47,0.67,0.73,0.8,0.87,0.47,1
33,0.75,0.59,0.03,1.0,0.59,0.0,0.56,0.88,0.69,0.19,0.88,0.53,0.16,0.78,0.38,0.53,0.47,0.41,0.94,0.47,0.5,0.56,0.25,0.63,0.31,0.22,0.13,0.44,0.34,0.44,0.47,0.5,0.0,0.31,0.56,0.47,0.16,0.38,0.31,0.31,0.38,0.34,0.19,0.06,0.47,0.72,0.72,0.34,0.34,0.69,0.56,0.09,1
34,0.4,0.52,0.08,0.12,1.0,0.96,0.48,0.4,0.16,0.68,0.68,0.44,0.2,0.72,0.68,0.28,0.56,0.12,0.48,0.48,0.6,0.72,0.44,0.56,0.44,0.0,0.32,0.32,0.68,0.36,0.32,0.2,0.84,0.08,0.08,0.44,0.4,0.64,0.36,0.72,0.44,0.52,0.76,0.36,0.16,0.04,0.28,0.8,0.0,0.04,0.76,0.16,1
35,0.52,0.31,0.48,0.62,0.45,0.5,0.48,0.48,0.19,0.69,0.67,0.38,1.0,0.36,0.43,0.67,0.26,0.64,0.52,0.62,0.45,0.48,0.48,0.36,0.43,0.12,0.38,0.07,0.48,0.48,0.31,0.5,0.36,0.1,0.05,0.48,0.14,0.07,0.36,0.33,0.45,0.29,0.17,0.43,0.19,0.24,0.74,0.29,0.29,0.21,0.4,0.0,4
36,0.41,0.5,0.62,0.59,0.47,0.44,0.26,0.12,0.41,0.21,0.26,0.41,0.71,0.09,0.85,0.65,0.59,0.88,0.53,1.0,0.71,0.68,0.47,0.47,0.53,0.0,0.24,0.15,0.21,0.29,0.38,0.26,0.18,0.38,0.29,0.53,0.32,0.65,0.24,0.24,0.65,0.26,0.38,0.29,0.35,0.53,0.15,0.15,0.24,0.15,0.44,0.21,1
37,0.41,0.39,0.56,0.78,1.0,0.73,0.37,0.78,0.71,0.63,0.8,0.9,0.37,0.32,0.54,0.51,0.27,0.56,0.39,0.54,0.17,0.39,0.24,0.46,0.51,0.02,0.27,0.02,0.24,0.0,0.34,0.39,0.37,0.49,0.34,0.17,0.22,0.37,0.49,0.0,0.07,0.17,0.51,0.44,0.41,0.37,0.29,0.2,0.68,0.37,0.1,0.1,4
38,0.32,0.03,0.24,0.56,0.97,0.56,0.15,0.32,0.68,0.59,0.62,0.68,0.79,0.44,0.47,0.41,0.44,0.59,1.0,0.53,0.41,0.41,0.29,0.71,0.38,0.24,0.06,0.12,0.32,0.03,0.62,0.18,0.29,0.71,0.29,0.0,0.24,0.09,0.65,0.03,0.29,0.29,0.74,0.41,0.24,0.5,0.59,0.29,0.38,0.35,0.38,0.15,4
39,0.66,0.17,0.17,1.0,0.52,0.55,0.9,0.62,0.59,0.62,0.86,0.31,0.9,0.72,0.52,0.79,0.86,0.59,0.97,0.55,0.55,0.76,0.38,0.17,0.59,0.03,0.0,0.24,0.07,0.48,0.38,0.38,0.34,0.55,0.34,0.28,0.34,0.41,0.66,0.86,0.21,0.14,0.03,0.55,0.48,0.62,0.76,0.59,0.52,0.07,0.17,0.0,4
40,0.52,0.26,0.23,0.77,0.81,0.61,0.68,0.61,0.9,0.94,0.42,0.58,0.52,0.55,1.0,0.71,1.0,1.0,0.58,0.71,0.58,0.97,0.26,0.81,0.23,0.29,0.13,0.1,0.23,0.1,0.26,0.55,0.19,0.55,0.68,0.58,0.32,0.1,0.48,0.42,0.68,0.68,0.42,0.39,0.48,0.42,0.58,0.81,0.68,0.19,0.0,0.26,4
41,0.82,0.36,0.76,0.36,0.52,0.82,0.48,0.67,0.21,0.7,0.55,0.73,0.67,0.91,1.0,0.48,0.91,0.61,0.48,1.0,0.48,0.79,0.42,0.76,0.64,0.3,0.33,0.21,0.33,0.67,0.39,0.36,0.48,0.39,0.73,0.27,0.3,0.42,0.27,0.3,0.3,0.58,0.79,0.36,0.73,0.45,0.79,0.39,0.21,0.42,0.0,0.03,4
42,0.2,0.56,0.49,0.56,0.83,0.32,0.46,0.24,0.44,0.44,0.88,0.34,0.41,0.29,0.59,0.66,0.61,0.76,0.32,0.68,1.0,0.49,0.59,0.51,0.49,0.29,0.15,0.22,0.39,0.2,0.05,0.34,0.02,0.29,0.0,0.24,0.41,0.34,0.2,0.15,0.51,0.59,0.56,0.46,0.34,0.32,0.51,0.56,0.37,0.24,0.22,0.17,1
43,0.53,0.32,0.35,0.59,1.0,0.35,0.44,0.5,0.53,0.32,0.38,0.5,0.41,0.85,0.56,0.76,0.85,0.62,0.68,0.47,0.71,0.65,0.74,0.71,0.44,0.24,0.44,0.29,0.32,0.21,0.5,0.44,0.5,0.5,0.29,0.09,0.62,0.65,0.65,0.62,0.09,0.5,0.5,0.85,0.38,0.35,0.32,0.47,0.5,0.32,0.38,0.0,4
44,0.63,0.34,0.61,0.47,0.55,0.18,0.45,0.26,0.47,0.66,0.45,0.34,1.0,0.55,0.55,0.29,0.45,0.61,0.42,0.63,0.79,0.42,0.58,0.26,0.32,0.21,0.29,0.34,0.0,0.53,0.34,0.29,0.32,0.37,0.34,0.45,0.87,0.16,0.55,0.24,0.32,0.13,0.58,0.13,0.05,0.42,0.66,0.58,0.37,0.32,0.32,0.11,1
45,0.33,0.82,0.44,0.62,0.67,0.67,1.0,0.74,0.79,0.46,0.59,0.46,0.62,0.64,0.36,0.74,0.92,0.64,0.77,0.49,0.54,0.49,0.62,0.31,0.36,0.26,0.18,0.31,0.26,0.49,0.36,0.26,0.26,0.38,0.23,0.41,0.62,0.38,0.23,0.41,0.69,0.41,0.49,0.82,0.41,0.38,0.44,0.46,0.18,0.51,0.44,0.0,4
46,0.54,0.59,0.21,0.23,0.36,0.26,0.36,1.0,0.46,0.38,0.46,0.0,0.56,0.46,0.72,0.44,0.28,0.54,0.69,0.18,0.31,0.51,0.82,0.62,0.56,0.03,0.13,0.03,0.51,0.28,0.38,0.13,0.15,0.33,0.23,0.1,0.33,0.18,0.56,0.26,0.36,0.28,0.49,0.51,0.36,0.21,0.36,0.36,0.44,0.28,0.38,0.03,1
47,0.34,0.97,0.66,0.46,0.74,0.31,0.34,0.69,0.51,0.8,0.74,0.69,0.37,0.43,0.97,0.94,0.8,0.49,0.57,0.66,0.49,0.51,0.63,1.0,0.29,0.06,0.74,0.4,0.06,0.31,0.37,0.37,0.43,0.6,0.46,0.37,0.31,0.0,0.49,0.6,0.4,0.54,0.54,0.14,0.6,0.49,0.46,0.77,0.17,0.4,0.51,0.29,1
48,0.57,0.25,0.75,0.61,0.57,0.5,0.75,0.54,0.32,0.96,0.25,0.64,0.39,0.82,0.54,0.71,0.5,0.64,0.64,0.96,0.39,0.64,0.5,0.64,0.36,0.5,0.36,0.18,0.29,0.54,0.57,0.21,0.18,0.18,0.43,0.64,0.75,0.25,0.0,0.57,0.39,0.54,0.14,1.0,0.54,0.21,0.43,0.71,0.57,0.04,0.43,0.07,4
49,0.64,0.0,0.86,0.36,0.64,0.29,0.43,0.5,0.64,0.36,0.71,0.57,0.43,0.43,0.57,0.29,0.64,0.71,0.57,0.5,0.14,0.29,0.21,0.21,0.36,0.14,0.29,0.21,0.64,0.07,0.43,0.5,0.5,0.14,0.29,0.07,0.29,0.5,0.36,0.43,0.21,1.0,0.21,0.64,0.64,0.5,0.5,0.36,0.14,0.36,0.43,0.43,1
50,0.57,0.33,0.48,0.95,0.33,0.52,0.52,0.52,0.33,0.52,0.57,0.48,1.0,0.86,0.67,0.43,0.81,0.9,0.33,0.52,0.62,0.86,0.62,0.67,0.48,0.0,0.67,0.57,0.62,0.33,0.62,0.57,0.43,0.24,0.43,0.62,0.86,0.38,0.52,0.52,0.43,0.38,0.57,0.1,0.95,0.33,0.48,0.24,0.43,0.29,0.57,0.0,1
51,0.72,0.86,0.62,1.0,0.31,0.72,0.55,0.45,0.76,0.59,0.86,0.69,0.41,0.45,0.83,0.69,0.93,0.59,0.41,0.83,0.52,0.41,0.48,0.52,0.45,0.76,0.24,0.0,0.21,0.31,0.1,0.34,0.07,0.14,0.07,0.66,0.48,0.24,0.0,0.31,0.52,0.45,0.55,0.76,0.34,0.52,0.59,0.48,0.38,0.72,0.14,0.03,1
52,0.2,0.5,0.6,0.8,0.3,0.1,0.9,0.6,0.2,0.5,0.5,0.4,0.2,0.3,0.7,0.7,0.9,0.3,1.0,0.2,0.7,0.6,0.6,0.4,0.5,0.5,0.4,0.1,0.3,0.5,0.5,0.2,0.3,0.3,0.6,0.2,0.4,0.4,0.2,0.7,0.3,0.1,0.3,0.0,0.4,0.6,0.7,0.7,0.3,0.5,0.3,0.9,1
53,0.65,0.68,0.52,0.61,0.26,1.0,0.71,0.61,0.65,0.55,0.39,1.0,0.52,0.71,0.84,0.39,0.42,0.77,0.13,0.35,0.48,0.74,0.77,0.29,0.68,0.06,0.19,0.55,0.35,0.61,0.26,0.48,0.23,0.0,0.29,0.16,0.19,0.65,0.32,0.16,0.55,0.26,0.26,0.42,0.68,0.55,0.77,0.55,0.61,0.29,0.45,0.16,1
54,0.52,0.37,0.81,0.81,0.33,0.15,0.59,0.81,0.81,0.33,0.81,1.0,0.22,0.37,0.44,0.63,0.74,0.37,0.63,0.48,0.74,0.59,0.07,0.41,0.7,0.15,0.22,0.15,0.26,0.15,0.19,0.85,0.33,0.26,0.52,0.04,0.48,0.37,0.52,0.07,0.07,0.19,0.44,0.44,0.19,0.59,0.59,0.11,0.3,0.85,0.0,0.19,4
55,0.43,0.32,0.79,0.61,0.93,0.21,0.82,1.0,0.61,0.82,0.82,0.64,0.93,0.68,0.75,0.43,0.54,0.32,0.29,0.57,0.75,0.79,0.46,0.43,0.57,0.32,0.0,0.21,0.32,0.07,0.46,0.61,0.36,0.46,0.43,0.04,0.21,0.07,0.68,0.36,0.46,0.46,0.29,0.61,0.43,0.36,0.61,0.25,0.86,0.46,0.57,0.0,4
56,0.65,0.32,0.62,0.78,1.0,0.68,0.76,0.35,0.59,0.84,0.35,0.68,0.62,0.73,0.38,0.84,0.68,0.54,0.7,0.84,0.68,0.57,0.57,0.84,0.49,0.08,0.24,0.38,0.65,0.32,0.59,0.57,0.27,0.27,0.49,0.54,0.43,0.43,0.08,0.35,0.59,0.57,0.51,0.41,0.62,0.16,0.65,0.65,0.49,0.0,0.32,0.16,4
57,0.43,0.5,0.64,0.75,0.14,0.32,0.5,0.96,0.75,0.79,0.29,0.54,0.21,0.43,0.57,0.75,0.54,0.36,0.96,0.0,0.29,1.0,0.82,0.82,0.79,0.25,0.04,0.14,0.18,0.71,0.64,0.39,0.32,0.32,0.46,0.54,0.46,0.25,0.29,0.18,0.54,0.32,0.46,0.39,0.29,0.5,0.64,0.64,0.39,0.64,0.39,0.39,1
58,0.18,0.91,0.64,0.73,0.64,0.73,0.64,0.45,0.55,0.91,0.73,0.82,0.45,0.36,0.45,0.36,0.73,0.64,0.36,0.27,1.0,0.82,0.73,0.73,1.0,0.09,0.36,0.55,0.36,0.64,0.18,0.09,0.55,0.18,0.55,0.36,1.0,0.27,0.36,0.36,0.45,0.73,0.82,0.0,0.45,0.73,0.36,0.55,0.45,0.82,0.18,0.91,1
59,0.58,0.7,0.85,0.27,1.0,0.3,0.61,0.67,0.58,0.48,0.48,0.24,0.64,0.45,0.42,0.58,0.82,0.48,0.88,0.67,0.7,0.7,0.85,0.18,0.7,0.0,0.18,0.48,0.42,0.67,0.15,0.42,0.42,0.33,0.48,0.48,0.21,0.15,0.03,0.03,0.3,0.33,0.3,0.39,0.73,0.09,0.52,0.21,0.58,0.33,0.42,0.09,1
60,0.22,0.38,0.44,0.91,0.84,1.0,0.69,0.53,0.47,0.47,0.53,0.78,0.72,0.44,0.63,0.69,0.38,0.56,0.28,0.25,0.66,0.63,0.5,0.47,0.19,0.13,0.0,0.56,0.31,0.47,0.28,0.19,0.22,0.38,0.41,0.38,0.03,0.25,0.56,0.31,0.66,0.53,0.59,0.44,0.22,0.41,0.34,0.31,0.59,0.13,0.41,0.25,1
61,0.21,1.0,0.53,0.74,0.58,0.58,0.89,0.58,0.0,0.37,0.37,0.53,0.37,0.74,0.53,0.42,0.58,0.68,0.53,0.32,0.63,0.37,0.37,0.11,0.74,0.26,0.16,0.63,0.63,0.21,0.11,0.05,0.0,0.21,0.84,0.79,0.16,0.21,0.53,0.0,0.58,0.53,0.53,0.26,0.58,0.26,0.21,0.05,0.63,0.63,0.11,0.11,0
62,0.51,0.57,0.97,0.7,0.32,0.49,0.81,0.57,0.59,0.43,0.86,0.59,0.59,0.62,1.0,0.43,0.65,0.76,0.68,0.41,0.32,0.7,0.57,0.32,0.3,0.16,0.35,0.0,0.38,0.05,0.43,0.3,0.27,0.59,0.49,0.3,0.3,0.46,0.35,0.32,0.59,0.62,0.27,0.49,0.19,0.27,0.51,0.41,0.27,0.51,0.24,0.05,1
63,0.47,0.56,0.32,0.71,0.38,0.53,0.53,0.74,0.32,0.35,0.88,0.47,0.59,0.44,0.29,0.79,0.68,0.44,1.0,0.59,0.32,0.44,0.74,0.47,0.44,0.15,0.21,0.29,0.21,0.15,0.41,0.21,0.53,0.53,0.26,0.21,0.12,0.29,0.18,0.26,0.5,0.35,0.18,0.38,0.38,0.38,0.06,0.44,0.26,0.18,0.35,0.0,4
64,0.77,0.46,0.38,0.46,0.54,0.38,0.38,0.23,0.62,0.08,0.92,1.0,0.23,0.23,0.62,0.08,0.85,0.85,0.69,0.54,0.31,0.46,0.38,0.69,0.92,0.15,0.15,0.46,0.38,0.38,0.62,0.08,0.85,0.38,0.31,0.31,0.08,0.77,0.62,0.0,0.69,0.08,0.38,0.31,0.23,0.15,0.15,0.0,0.15,0.31,0.23,0.31,0
